M	CHARACTER	DIALOGUE
M	WOMAN (O.C.)	...Yeah?
M	JAMIE	Sorry, a Professor Sapperstein needs to see you in biology. Said it's urgent.
F	CARRIE	Alright -- CONTINUED:
F	CARRIE	Hey Fred, unlock any secrets of the Universe -- discover we're Alien life forms?
M	FRED	Workin' on it.
F	CARRIE	Which one's Sapperstein?
M	SCIENTIST	Deschampsia Antarctica.
F	CARRIE	Okay, thanks. Sapperstein?
M	SAPPERSTEIN	Yeah.
F	CARRIE	Wanted to see me?
M	SAPPERSTEIN	-- Follow me.
M	SAPPERSTEIN (cont'd)	They took it all.
F	CARRIE	All what?
M	SAPPERSTEIN	Cannabis Sativa.
M	SAPPERSTEIN (cont'd)	My weed, man. I've been growing it all summer and they took it. It was just budding, too. It's not funny!
F	CARRIE	Professor Sapperstein, I'd like you to read something for me.
M	CARRIE (cont'd)	What's this say?
M	CARRIE (cont'd)	C'mon, go ahead, read it.
M	SAPPERSTEIN	Carrie Stetko.
F	CARRIE	Keep reading.
M	SAPPERSTEIN	United States Marshal.
F	CARRIE	Very good. Now are you still sure you want to report the theft of an illegal narcotic? Professor...are you planning on doing the winter-over?
M	SAPPERSTEIN	Not this year, no.
F	CARRIE	Good. And how are you feeling right now?
M	SAPPERSTEIN	You think I'm crazy? Is that what you're saying?
F	CARRIE	No, no, not crazy. But this time of year, down here, we're all going a little toasty aren't we? How about you plant a little Cannabis when you get home? CONTINUED:
M	MURPHY (O.C.)	You busy?
F	CARRIE	What do you think? I know you weren't in the area. What's up?
M	MURPHY	I got a pilot at ASB who thinks he spotted a popsicle out on the ice.
F	CARRIE	What flavor?
M	MURPHY	Don't know.
F	CARRIE	And we were doing so well. Where?
M	MURPHY	McClain Valley.
F	CARRIE	McClain Valley? What was he doing out there? That's no man's land.
M	MURPHY	I've got a plane heading to ASB in an hour with some supplies for Winter-over. Can't get you back until tomorrow. You leaving the dart board?
F	CARRIE	No -- just the picture.
M	P	opulation: 183 Temperature: - 55°
F	CARRIE	Bottom of the frickin' planet.
F	CARRIE	Doc?
M	KELLER	Well, hello Marshal. CONTINUED:
F	CARRIE	Keller. You seen Doc?
M	KELLER	Out back. What are you doing here?
F	CARRIE	Checking the freezer for a popsicle.
M	KELLER	No shit?
F	CARRIE	It got called in this morning.
M	KELLER	Who spotted it?
F	CARRIE	Delfy, one of the pilots here.
M	KELLER	It's his first year down here. You know how that goes. My bet it was just debris, an old tent or something.
F	CARRIE	Yeah -- probably.
M	KELLER	Here's an idea -- why don't you stay here with me and we'll party, just the two of us. Put those cuffs of yours to work.
F	CARRIE	...Were you the second guy from the front?
M	KELLER	Yeah.
F	CARRIE	Not interested.
F	RHONDA	I'll have them boomerang back and pick up the load -- just have it ready.
M	TECH	Guys got the science lab all shut down.
F	RHONDA	Good, have them check all the pressure levels on the hydraulics, then clear the exterior storage bins. Make sure we're not leaving anything out there. Sam told me you'd be coming up -- how's the sleigh ride?
F	CARRIE	Fine. I need a plane and that pilot who saw the popsicle.
F	RHONDA	I'll have him meet you in the hangar. CONTINUED:
F	CARRIE	Yeah, good.
M	DOC	In less than three days we begin Winter-over. The sky will go completely black and stay that way for six months. The sane ninety percent of the population will be leaving the ice. Extreme weather conditions make it impossible for planes from the outside world to land. You have chosen, for your own misguided reasons, to stay. And it is my responsibility to teach you beakers how not to die. Time?
M	ASIAN	T... T... Three minutes. CONTINUED:
M	DOC	Your core body temperatures have fallen to approximately 97 degrees. You are shivering uncontrollably -- losing basic motor skills. You're having trouble focusing on even the simplest tasks. In short, you are well on your way to dying, and it has only been two-hundred seconds. Put your coats on. Your life is dependent on your awareness of the weather. So be aware. There is a condition that arises around here known as a whiteout. Don't get caught in it. Winds kick up snow that's lain on the ice for thousands of years -- can't see six inches in front of your nose. Temperature plummets to triple digits. We found bodies less than a foot from safety and warmth.
M	DOC (cont'd)	Class, here we have another of the many hazards found on Antarctica. Say hello to Marshal Stetko.
M	CLASS	Hello Marshal Stetko.
M	DOC	Always a pleasure to see you. Unlike most of the beaker-heads down here. Social visit?
F	CARRIE	I wish -- We got a job. I need you to take a ride with me. Might be a body out on the ice.
M	DOC	Why's this crap always happen at the end of the season? Too cold for driving.
F	CARRIE	So it is.
M	DOC	What's your gut say about this body?
F	CARRIE	My gut and I don't talk anymore. I saw your boxes packed up. What was all that BS last month about, "I'm never going back -- I'll die here. Scatter my ashes over the pole"?
M	DOC	People change, Carrie.
F	CARRIE	Not you. CONTINUED:
M	DOC	I got a card from my Granddaughter inviting me to her fifth birthday party. You know, I've never even met her.
F	CARRIE	Or mentioned her. A grandchild? Doc, that's great.
M	DOC	It got me thinking -- I need to be a better Grandfather, than I was a father. It's time I deal with my life. I've been down here a lot longer than I probably should have.
F	CARRIE	You Delfy?
M	DELFY	Yes, ma'am.
M	DOC	Where the hell they get these thumb-suckers?
M	DELFY	Brooklyn. And unless your wrinkled ass has a heart attack on my plane, I think we'll be all right.
M	DOC	-- I want Keller. He's my pilot. Keller, get over here!
F	CARRIE	Delfy's taking us, Doc. He's the one who saw the body. C'mon, you'll be fine. I'll even hold your hand if you want.
F	CARRIE	What were you doing out there?
M	DELFY	I went to evac a camp. Had to fly off route to get around a storm. Got down low to avoid some turbulence, and there it was.
F	CARRIE	That your son?
M	DELFY	Yeah, name's Nathan.
F	CARRIE	He's cute. Has your eyes.
M	DELFY	Lucky he got his momma's brain. Kid's smart.
F	CARRIE	So why aren't you with him?
M	DELFY	The bonus pay. Trying to buy a house. Give my boy a yard. His own room. Stuff I never had. CONTINUED: Don't like the cold, huh?
F	CARRIE	Hate it.
M	DELFY	Then why are you down here?
F	CARRIE	We all make stupid mistakes.
M	DELFY	It's right up here. I don't carry extra panties Doc, so keep it tight. There it is.
M	DELFY (cont'd)	Three o'clock.
F	CARRIE	Yeah. Got it. It's a popsicle alright. Red jacket. He's American. CONTINUED:
M	DOC	... It's always different when they freeze. Some curl up. Some stretch out. Some tear their clothes off. They get delirious. What was that guy's name?
F	CARRIE	Linger.
M	DOC	Yeah. He's lost in a storm. We can't find him, but we hear him on the radio going on and on about the Serengeti heat and his wife, Janet. Next day, we find him frozen solid, wearing nothing but his bunny boots.
M	DELFY	Jesus.
M	DOC	Never seen a dead guy? You know him --
F	CARRIE	So do you. Think his name's Weiss. We Wintered-over last year with him. Played cards a couple of times.
M	DOC	The guy who cheated?
F	CARRIE	Yeah. Geologist, I think.
M	DOC	Damn -- Looks like he fell from up there.
F	CARRIE	Then where's his crampons -- his gear?
M	DOC	Maybe down the crevasse?
F	CARRIE	Yeah, maybe -- What's the closest camp?
M	DELFY	Brits -- about eighty miles west.
F	CARRIE	What the hell where you doing all the way out here?
M	DOC	Ah Christ -- he's a sticker.
F	CARRIE	You going to be alright?
M	DELFY	No -- this is the kind of stuff that scars you for life.
M	DOC	Gonna give myself a Goddamn hernia.
F	CARRIE	Oh yeah -- I'm really going to miss this place. CONTINUED:
F	CARRIE	Who manages the Post Stations?
F	RHONDA	Dinkle. Howard Dinkle.
M	CARRIE (O.C.)	One - two - three... How long to thaw him out?
M	DOC	Carrie, let's just bag him and put him on a plane to McMurdo.
F	CARRIE	It bothers me no one's reported him missing yet.
M	DOC	Because maybe no one thinks he is.
F	CARRIE	How'd he get out there? There were no tracks.
M	DOC	Sounds to me like you and your gut are talking again. CONTINUED: Let's ask ourselves if we really need to do this.
F	CARRIE	Nobody wants to get out of here more than I do, trust me, but right now -- we're all this guy has.
F	CARRIE	Grab that side.
M	DOC	Stirring up a few things? CONTINUED:
F	CARRIE	...I'll be alright.
M	DOC	You know, this means a Federal Investigation, and we're witnesses. We may get stuck here.
F	CARRIE	I know.
M	DOC	We both want to do the right thing Carrie -- but we also need to get off the ice. Right now we don't have to say a word. When they find something later -- hey, we didn't know. We were leaving, the body was frozen, we didn't have time to examine it. No one gets murdered in Antarctica. Think about it. Dead is dead.
F	CARRIE	Exactly, this is the first murder in Antarctica, Doc -- and I can't just pretend it didn't happen. I'm sorry.
M	DOC	Why did I know you were going to say that?
M	MURPHY (V.O.)	What camp was he with?
F	CARRIE	I'm on my way to find out. This is all I need right now.
F	CARRIE	I'm sure his family's thinking the same thing.
M	MURPHY (V.O.)	That's not what I meant. I'll contact the FBI -- see how they want to handle this. CONTINUED:
F	CARRIE	I hate interrupting educational programming, but --
M	CARRIE (cont'd)	I need to talk to Dinkle.
M	LAST GUY	Marshal.
F	CARRIE	Chaplain.
M	DINKLE	Am I in some kind of trouble?
F	CARRIE	What are they doing out there? CONTINUED:
M	DINKLE	Collecting meteorites. One One has an extremely old surface with low sediment deposition.
F	CARRIE	English, please.
M	DINKLE	for meteorites. It's right here.
F	CARRIE	I don't get it -- Weiss was no where near Delta One One.
M	CARRIE (cont'd)	When are they scheduled for evac?
M	DINKLE	One sec -- ...They haven't arranged a pickup yet.
F	CARRIE	Isn't that a little unusual this close to Winter-over?
M	DINKLE	Yes, it is. Really unusual, actually. I guess I should've contacted them, but --
F	CARRIE	-- You've been a little busy. Yeah, I can see that. What's their frequency?
M	DINKLE	Seventeen.
F	CARRIE	Delta One One, this is United States Marshall Carrie Stetko, come back, over. Delta One One, I repeat, this is United States Marshal Stetko, come in, over. Stetko.
M	JAMIE (V.O.)	Marshal, it's Jamie. I've got some guy holding from Vostok who won't give his name, says he has to talk to you.
F	CARRIE	Vostok? Patch it through.
M	JAMIE (V.O.)	You're on now.
F	CARRIE	This is Marshal Stetko, who's this?
M	MOONEY (V.O.)	John Mooney.
F	CARRIE	Mooney? You know who I am?
F	CARRIE	What happened out there, Mooney? You come to Vostok and we'll talk. Only you.
F	CARRIE	Where's Rubin?
M	MOONEY (V.O.)	Come to Vostok.
F	CARRIE	Getting drunk already?
M	DOC	Just gearing my liver up in case I have to stay the next six months.
F	CARRIE	Murphy's contacting the Feds.
M	DOC	You're making my day. CONTINUED:
F	CARRIE	I'll do everything I can to get you off this ice, promise.
M	DOC	I know you will. What's the hurry?
F	CARRIE	Going to Vostok. One of the guys from Weiss' team called. Wants to talk.
M	DOC	What's he doing in Russia?
F	RHONDA	We're tracking it now.
F	CARRIE	I need a plane to Vostok.
F	RHONDA	I don't control the weather -- you want to stay the winter, then don't be ready for your evac. Sorry, can't. All the planes are committed. CONTINUED:
F	CARRIE	I'm not asking.
F	RHONDA	What am I supposed to tell the deep drill ice core team getting picked up in four and a half?
F	CARRIE	Tell them I took their plane.
M	DELFY	What's with this place?
F	CARRIE	The Russians barely supply Vostok anymore. They have to barter with other bases for supplies. Some of these guys have been rotting here for years.
F	CARRIE	Who's in charge?
M	YURI	Who's asking?
F	CARRIE	Stetko, US Marshal. I'm here to talk to an American named Mooney.
M	YURI	So many people come through Vostok. Is hard to remember.
F	CARRIE	I figured.
M	YURI	Mister Mooney, yes. I remember now. He offers pay us to fly him off Antarctica on our transport. We give him very good price - because plane leaves a week ago!
F	CARRIE	Where is he? CONTINUED:
M	YURI	Red storm line.
M	DELFY	You don't carry a gun?
F	CARRIE	Against the law -- Antarctica's the only place in the world you can't have one. Part of the Treaty.
M	DELFY	Doesn't that make you feel kind of naked?
F	CARRIE	All this crap on -- I prefer naked.
M	DELFY	Gettin' worse. Minus eighty-one. Wind at a hundred and ten knots.
F	CARRIE	Do you have to do that in front of me?
M	DELFY	Give you a hand?
F	CARRIE	Sure. CONTINUED:
M	DELFY	Ever been on a rope-line in a whiteout?
F	CARRIE	Nope. Thoughts?
M	DELFY	Yeah, hold on tight.
F	CARRIE	Mooney? Hello? Mooney? CONTINUED:
F	CARRIE	...My God. CONTINUED: CONTINUED: CONTINUED:
F	CARRIE	Jack? Jack!
M	DELFY O.C.	Wo wo wo. It's okay, it's okay. CONTINUED:
F	CARRIE	What happened?
M	DELFY	When you didn't come back -- we went looking for you. Found a dead guy in the other building -- that Mooney?
F	CARRIE	Yeah. Someone got to him before I did. Then went after me. How long was I out?
M	DELFY	A couple hours. He's been looking after you.
F	CARRIE	Thanks. I need to get back in there.
M	DELFY	Whoever it was, could have flown out after the storm broke. Who's Jack?
F	CARRIE	Let it go, Delfy.
M	DELFY	Until I met you, I hadn't seen any dead people. Now I'm at two. CONTINUED:
F	CARRIE	Unless you want your head cracked, I wouldn't move.
M	MAN	Take it easy.
F	CARRIE	-- Let me see your hands. Now turn around.
M	CARRIE (cont'd)	Who are you? Delfy comes up behind her.
M	MAN	Robert Pryce. I'm a United Nations observer for the Oceanic and Antarctic section. If you relax, I've got my ID.
F	CARRIE	Let's see it -- slowly.
M	PRYCE	You must be Stetko -- I was heading to ASB to talk to you about Weiss when I was told you had come up here.
F	CARRIE	How do you know about Weiss?
M	PRYCE	FBI notified us. Your base commander called it in. I thought I might find answers in his gear, but there's nothing here but clothes.
F	CARRIE	This is part of a crime scene.
M	PRYCE	I realize that, but considering the time constraints we're up against, let's be honest, taping and bagging everything isn't going to be an option.
F	CARRIE	I'll be sure to let the U.N. know if I find out anything.
M	PRYCE	You heading out to Delta One One?
F	CARRIE	Maybe.
M	PRYCE	I'll grab my bag.
F	CARRIE	Don't take this personally, but I don't need your help.
M	PRYCE	If they've been digging out there, that's a direct violation of the United Nations treaty. We think they were digging. That makes it my business.
F	CARRIE	You don't dig for meteorites.
M	PRYCE	And you don't get killed for them either. This is now a U.N. matter. I am within my rights to commandeer your pilot and plane if I have to.
M	DELFY	He can, you know.
F	CARRIE	Fine. But this is my investigation, understand? If you obstruct it in any way, I will have you detained.
M	PRYCE	Fine. Mind if I ask you a personal question?
F	CARRIE	No, but I have the feeling you're going to anyway.
M	PRYCE	Why do you smell like suntan lotion? CONTINUED:
F	CARRIE	Murphy, listen to me, it's got to be Rubin who tried to kill me. You have to shut down flights leaving ASB and McMurdo -- search for him.
M	MURPHY (V.O.)	That's not possible. We're still bringing people in and resupplying other bases for Winter-over.
F	CARRIE	Sam, I think these guys found something out there at the camp. I'm going to check it out. Until I find Rubin, no one leaves the ice. Not yet.
M	PRYCE	We ready?
F	CARRIE	Guess so. CONTINUED:
F	CARRIE	What time is it?
M	PRYCE	Two thirty.
F	CARRIE	A.M. or P.M.?
M	PRYCE	A.M.
F	CARRIE	Wonderful. I'll take this one.
F	CARRIE	Rubin? CONTINUED: Uses the end of the flashlight to chip away a frozen
M	PRYCE	Anything?
F	CARRIE	Someone's left leg took a hit, lost a lot of blood. What do you got?
M	PRYCE	Their daily work log.
M	DELFY	Looks like my dad's old lawn mower.
M	PRYCE	It's ground penetrating radar.
F	CARRIE	Looks like they were surveying sections at a time.
M	PRYCE	Areas labeled?
F	CARRIE	Yeah -- CONTINUED:
M	PRYCE	At Sections 101 and 102, they spent one day. 103 two days. 104 -- seven days. That was a month ago.
F	CARRIE	Looks like they hit some really big meteors.
M	PRYCE	How far?
F	CARRIE	About four miles.
M	PRYCE	Let's go see what they found.
F	CARRIE	I want to check something out first. CONTINUED:
M	DELFY	I said "which way?"
F	CARRIE	North.
M	PRYCE	Hurt?
F	CARRIE	Yeah, a little.
M	PRYCE	How long have you been down here, Marshal? CONTINUED:
F	CARRIE	Almost two years.
M	PRYCE	What brought you to the ice?
F	CARRIE	The excitement, mostly.
M	PRYCE	Everyone down here is running away from something.
F	CARRIE	Some shrink tell you that?
M	PRYCE	Yeah, and that I should call my mother more often
F	CARRIE	And do you?
M	PRYCE	Every Sunday.
F	CARRIE	Where do you plant your boots?
M	PRYCE	They got me working out of Christchurch, New Zealand. Beautiful country. But this -- crazy place to make a living.
F	CARRIE	I came down to fill in for a Marshal for six weeks before Winter-over. I met someone, decided to stay.
M	PRYCE	He give you that ring I saw? Tell you he was going to marry you?
F	CARRIE	No -- just gave me a headache. I didn't see a ring on your finger.
M	PRYCE	Flattered that you even looked.
F	CARRIE	This is it. Stop.
M	DELFY	There's nothing here.
F	CARRIE	Just stop.
M	PRYCE	You sure this is right?
F	CARRIE	Section 104. These are the coordinates.
M	DELFY	Maybe you wrote them down wrong.
F	CARRIE	This is shaved ice. CONTINUED: They were digging, Pryce. And they tries to spread the ice to hide it. Grab me!
M	PRYCE	Hold my legs!
F	CARRIE	I'm slipping!
M	PRYCE	Almost got you.
F	CARRIE	I'm losing my grip.
M	PRYCE	Carrie? Can you hear me?
M	DELFY	Marshal? ...I'm okay.
M	DELFY	Saw a rope in the Cat. CONTINUED: Twisted, and strewn with large containers scattered at
F	CARRIE	Cargo plane, but I don't recognize it.
M	DELFY	It's an Antanov-74. Russian made - - late fifties. No one's put these in the air for forty years.
F	CARRIE	Guess that makes three.
M	DELFY	This isn't funny --
F	CARRIE	Where's Pryce?
F	CARRIE	What is that?
M	DELFY	Vodka.
F	CARRIE	Find what you're looking for?
M	PRYCE	Just answers. Those are fuel tanks behind you. This plane was outfitted for long range capabilities.
F	CARRIE	And by the looks of that safe, must've been transporting something pretty important. CONTINUED: Part of it has been damaged by the crash and this
M	PRYCE	They put some serious work into this.
F	CARRIE	Whoever got hurt, they dragged him out of here. There's blood all over the tunnel. What is that?
M	DELFY	It's the Cat!
F	CARRIE	Go!
M	DELFY	Sonofabitch!
F	CARRIE	No signal, you? Someone followed us.
M	PRYCE	This isn't going to work, it's like digging through concrete with a spoon. We're going to suffocate before we get out here.
F	CARRIE	How long do you figure we've got?
M	PRYCE	Three of us down here -- 12, 15 hours at the most.
M	DELFY	No way. I'm not going out like this. No way. CONTINUED: And when that one goes -- we're screwed.
F	CARRIE	What about the Vodka -- we could make some torches, maybe melt the ice?
M	PRYCE	Fire will burn the O2 quicker.
F	CARRIE	What choice do we have?
M	DELFY	Don't need my vote.
M	PRYCE	Hold these.
F	CARRIE	What're you doing?
M	PRYCE	All these planes used to have bail- out hatches.
F	CARRIE	We came in through it.
M	PRYCE (O.C.)	Has to be more than one.
M	DELFY	It'd be on the ceiling in case of an ocean landing.
M	PRYCE	Found it! With the angle of the plane, I don't think we're that far from the surface. Give me a hand.
M	PRYCE (cont'd)	These are explosive bolts. If we blow the hatch, maybe it'll smash a hole up through the ice.
F	CARRIE	Or, if the ice is too thick the blast will come right back at us.
M	PRYCE	We can be blown up, suffocate or freeze to death. Take your pick. This could work -- give me the battery from your phone.
M	PRYCE (cont'd)	When I connect these two wires, hopefully there's going to be a big bang. May want to take some cover. You guys ready?
M	DELFY	Hallelujah --
M	PRYCE	Delfy, help me with this. We'll need to get up higher.
F	CARRIE	Don't move.
M	PRYCE	What's going on?
M	DELFY	Yeah -- what're you doing?
F	CARRIE	Our friend here isn't who he says he is. Didn't you know it's a direct treaty violation to carry a firearm down here?
M	PRYCE	I've been authorized because of what's happened.
F	CARRIE	Stop lying to me --
M	CARRIE (cont'd)	Delfy, cuff him to the wall.
M	PRYCE	Don't do this.
M	DELFY	Man, the guy just saved our lives...
F	CARRIE	He was saving his own. Do it. You know what was in that safe. Now, who are you?
M	CARRIE (cont'd)	I swear I'll leave you here to die.
M	PRYCE	CIA.
F	CARRIE	Have you got an ID for that too?
M	PRYCE	Listen to me -- Forty eight hours ago, we picked up chatter between someone down here and Tahir Soufian, a black market trader in New York. It was all about setting up a buy for cannisters found in an old Russian transport buried in the ice.
M	DELFY	Damn, I knew that government eavesdropping was true.
M	PRYCE	There's been rumors for years that the Russians had a second base -- a secret weapons research facility under the ice that supposedly blew up in the late sixties -- nothing was ever confirmed. The fact is, before the treaty in `72 they were strip mining all over the place down here -- we believe for uranium and other specialized minerals for weapon's use. It was the Cold War. No one knows half the things the Russian's were up to. This plane could be the link between rumor and truth. And if it is true, what's in those cannisters could be a prelude to another terrorist attack.
F	CARRIE	Why did you lie to me?
M	PRYCE	Look, the U.N. carries a lot of weight down here. Think about it - - if I had told you I was C.I.A., you would have been on the horn back to Washington in no time. This is a very sensitive matter. News travels fast down here, I don't have to tell you that. Besides, I didn't know if I could trust you.
M	DELFY	Keys are still in it!
F	CARRIE	Plane could've gone anywhere. There's forty-six countries here all counting down to Winter-over. Rubin could just disappear in the mayhem. Rhonda?
M	RHONDA (V.O.)	Where the hell are you?
F	CARRIE	Heading back. How many fly-ins to McMurdo in the last four hours? You expect me to --
F	CARRIE	-- How many?
M	RHONDA (V.O.)	Fifteen.
F	CARRIE	I need a list of names.
M	DELFY	You think Rubin might try to leave out of McMurdo?
F	CARRIE	He knows I'm on his ass, so he might. Anything's possible. I want to eliminate his options.
